country,capital_city,lat,lon
Afghanistan,Kabul,34.52813,69.17233
Albania,Tirana,41.3275,19.81889
Algeria,Algiers,36.7525,3.04197
Andorra,Andorra la Vella,42.50779,1.52109
Angola,Luanda,-8.83682,13.23432
Argentina,Buenos Aires,-34.61315,-58.37723
Armenia,Yerevan,40.18111,44.51361
Australia,Canberra,-35.28346,149.12807
Austria,Vienna,48.20639,16.35722
Azerbaijan,Baku,40.37767,49.89201
Bahamas,Nassau,25.03428,-77.39628
Bahrain,Manama,26.21536,50.5832
Bangladesh,Dhaka,23.7104,90.40744
Barbados,Bridgetown,13.10732,-59.62021
Belarus,Minsk,53.9,27.56667
Belgium,Brussels,50.85045,4.34878
Belize,Belmopan,17.25,-88.76667
Benin,Porto-Novo,6.49646,2.60359
Bhutan,Thimphu,27.46609,89.64191
Bolivia,Sucre,-19.03332,-65.26274
Bosnia and Herzegovina,Sarajevo,43.84864,18.35644
Botswana,Gaborone,-24.65451,25.90859
Brazil,Brasília,-15.77972,-47.92972
Brunei,Bandar Seri Begawan,4.94029,114.94806
Bulgaria,Sofia,42.69751,23.32415
Burkina Faso,Ouagadougou,12.36566,-1.53388
Burundi,Gitega,-3.4264,29.93083
Cabo Verde,Praia,14.93305,-23.51333
Cambodia,Phnom Penh,11.56245,104.91601
Cameroon,Yaoundé,3.86667,11.51667
Canada,Ottawa,45.41117,-75.69812
Central African Republic,Bangui,4.36122,18.55496
Chad,N'Djamena,12.10672,15.0444
Chile,Santiago,-33.45694,-70.64827
China,Beijing,39.9075,116.39723
Colombia,Bogotá,4.60971,-74.08175
Comoros,Moroni,-11.70216,43.25506
Congo,Brazzaville,-4.26613,15.28318
Costa Rica,San José,9.93333,-84.08333
Croatia,Zagreb,45.81444,15.97895
Cuba,Havana,23.13302,-82.38304
Cyprus,Nicosia,35.16667,33.36667
Czech Republic,Prague,50.08804,14.42076
Denmark,Copenhagen,55.67594,12.56553
Djibouti,Djibouti,11.58901,43.14503
Dominica,Roseau,15.30174,-61.38808
Dominican Republic,Santo Domingo,18.48605,-69.93121
East Timor,Dili,-8.55861,125.57361
Ecuador,Quito,-0.22985,-78.52495
Egypt,Cairo,30.06263,31.24967
El Salvador,San Salvador,13.68935,-89.18718
Equatorial Guinea,Malabo,3.75043,8.7371
Eritrea,Asmara,15.33805,38.93184
Estonia,Tallinn,59.437,24.75353
Eswatini,Mbabane,-26.31667,31.13333
Ethiopia,Addis Ababa,9.02497,38.74689
Fiji,Suva,-18.14161,178.44149
Finland,Helsinki,60.16952,24.93545
France,Paris,48.85341,2.3488
Gabon,Libreville,0.39241,9.45356
Gambia,Banjul,13.45274,-16.57803
Georgia,Tbilisi,41.69411,44.83368
Germany,Berlin,52.52437,13.41053
